rank,run_version,run_label,model_key,model_display_name,lmstudio_model_id,quantization,mmproj_quantization,architecture,records,completed,failed,avg_seconds,record_exact_match_accuracy,top_level_field_accuracy,item_field_accuracy,item_count_exact_accuracy,item_name_accuracy,item_quantity_accuracy,item_unit_price_accuracy,item_amount_accuracy,jomb_core_score_v1,jomb_core_score_v1_points
1,v0.3.1,operational 20-image refresh,gemma4_31b_qat_q4_0,Gemma 4 31B QAT Q4_0,google/gemma-4-31b-qat,Q4_0,unknown,gemma4,20,20,0,35.128,0.6,0.977273,0.997222,1.0,0.988889,1.0,1.0,1.0,0.9529,95.29
2,v0.3.1,operational 20-image refresh,gemma4_31b_q4_k_m_retest,Gemma 4 31B Q4_K_M retest,google/gemma-4-31b,Q4_K_M,unknown,gemma4,20,20,0,57.263,0.6,0.981818,0.9875,1.0,0.983333,0.994444,0.972222,1.0,0.9492,94.92
3,v0.3.1,operational 20-image refresh,qwen36_27b_q8_0,Qwen3.6 27B Q8_0,qwen/qwen3.6-27b,Q8_0,unknown,qwen35,20,20,0,17.754,0.5,0.979545,0.876389,1.0,0.961111,0.772222,0.772222,1.0,0.8831,88.31
4,v0.3.1,operational 20-image refresh,gemma4_26b_a4b_qat_q4_0,Gemma 4 26B A4B QAT Q4_0,google/gemma-4-26b-a4b-qat,Q4_0,unknown,gemma4,20,17,3,15.236,0.2,0.797727,0.635621,0.7,0.6,0.857143,0.5,0.611111,0.6422,64.22
