v040_noisy_rank,run_version,model_key,jomb_core_score_v1_points,quantization,completed,failed,avg_seconds,record_exact_match_accuracy,top_level_field_accuracy,item_field_accuracy,item_count_exact_accuracy
1,v0.3.1,gemma4_31b_qat_q4_0,95.29,Q4_0,20,0,35.128,0.6,0.977273,0.997222,1.0
2,v0.3.0,gemma4_31b_q8_0,95.0,Q8_0,20,0,53.195,0.6,0.979545,0.990278,1.0
3,v0.3.2,qwen36_35b_a3b_q8_0,94.79,Q8_0,20,0,4.633,0.55,0.977273,0.997222,1.0
4,v0.3.0,qwen36_35b_a3b_q4_k_m,93.61,Q4_K_M,20,0,4.282,0.45,0.972727,0.995833,1.0
5,v0.3.1,qwen36_27b_q8_0,88.31,Q8_0,20,0,17.754,0.5,0.979545,0.876389,1.0
6,v0.3.0,qwen3_vl_30b_q4_k_m,73.59,Q4_K_M,20,0,3.248,0.05,0.943182,0.690278,1.0
7,v0.3.0,qwen25_vl_7b_q8_0,70.99,Q8_0,20,0,5.094,0.0,0.934091,0.652778,1.0
8,v0.3.1,gemma4_26b_a4b_qat_q4_0,64.22,Q4_0,17,3,15.236,0.2,0.797727,0.635621,0.7
9,v0.3.0,internvl3_5_14b_q8_0,56.16,Q8_0,20,0,9.519,0.0,0.725,0.565672,0.65
