rank,model_key,model_display_name,lmstudio_model_id,quantization,mmproj_quantization,architecture,core_score_points,exact_match_accuracy,top_level_field_accuracy,item_field_accuracy,item_count_exact_accuracy,avg_seconds,records,completed,failed,item_name_accuracy,item_quantity_accuracy,item_unit_price_accuracy,item_amount_accuracy
1,gemma4_31b_q8_0,Gemma 4 31B Q8_0,google/gemma-4-31b,Q8_0,BF16,gemma4,95.0,0.6,0.979545,0.990278,1.0,53.195,20,20,0,0.988889,1.0,0.972222,1.0
2,qwen36_35b_a3b_q4_k_m,Qwen3.6 35B A3B Q4_K_M,qwen/qwen3.6-35b-a3b,Q4_K_M,BF16,qwen35moe,93.61,0.45,0.972727,0.995833,1.0,4.282,20,20,0,0.988889,0.994444,1.0,1.0
3,qwen3_vl_30b_q4_k_m,Qwen3-VL 30B Q4_K_M,qwen/qwen3-vl-30b,Q4_K_M,F16,qwen3-vl-30b,73.59,0.05,0.943182,0.690278,1.0,3.248,20,20,0,0.938889,0.411111,0.411111,1.0
4,qwen25_vl_7b_q8_0,Qwen2.5-VL 7B Q8_0,qwen/qwen2.5-vl-7b,Q8_0,F16,qwen2vl,70.99,0.0,0.934091,0.652778,1.0,5.094,20,20,0,0.95,0.622222,0.044444,0.994444
5,internvl3_5_14b_q8_0,InternVL3.5 14B Q8_0,internvl3_5-14b,Q8_0,F16,qwen3,56.16,0.0,0.725,0.565672,0.65,9.519,20,20,0,0.544444,0.748387,0.316129,0.644444
